strain	previous_names	isotype
AF16	AF16 CGC, G16	AF16
BRC20069	NULL	BRC20069
BRC20073	NULL	BRC20073
BRC20075	NULL	BRC20075
BRC20076	NULL	BRC20390
BRC20077	NULL	BRC20077
BRC20081	NULL	BRC20081
BRC20085	NULL	BRC20085
BRC20086	NULL	BRC20390
BRC20088	NULL	BRC20088
BRC20089	NULL	BRC20089
BRC20090	NULL	BRC20090
BRC20092	NULL	BRC20092
BRC20093	NULL	BRC20093
BRC20094	NULL	BRC20094
BRC20095	NULL	BRC20095
BRC20096	NULL	BRC20096
BRC20098	NULL	BRC20098
BRC20099	NULL	BRC20099
BRC20100	NULL	BRC20100
BRC20102	NULL	BRC20102
BRC20103	NULL	BRC20103
BRC20105	NULL	BRC20105
BRC20107	NULL	BRC20107
BRC20115	134	BRC20115
BRC20119	159F-7	BRC20119
BRC20120	170F-18	NIC815
BRC20121	182F-30	NIC802
BRC20122	181F-29	BRC20238
BRC20123	171F-19	NIC805
BRC20224	201F-49	BRC20543
BRC20228	343F-191	BRC20228
BRC20229	335F-183	BRC20229
BRC20230	370F-218	BRC20230
BRC20232	189F-37	BRC20232
BRC20234	154F-2	BRC20241
BRC20236	172F-20	BRC20238
BRC20237	173F-21	BRC20238
BRC20238	178F-26	BRC20238
BRC20239	210F-58	BRC20239
BRC20241	156F-4	BRC20241
BRC20242	162F-10	BRC20242
BRC20244	426F-274	BRC20244
BRC20246	204F-52	BRC20246
BRC20247	212F-60	BRC20390
BRC20254	194F-42	BRC20232
BRC20255	369F-217	NIC802
BRC20256	375F-223	BRC20246
BRC20257	443F|DAISI_06	BRC20257
BRC20260	206F-54	BRC20260
BRC20269	487FA, fulong beachA	BRC20331
BRC20270	471F	BRC20270
BRC20272	471F L	BRC20272
BRC20289	482FA	BRC20289
BRC20290	482FB	BRC20290
BRC20294	495FB, Chong-Ho (golf-2)	BRC20294
BRC20295	495FA, Chong-Ho (golf-1)	BRC20294
BRC20299	486FA, turtle islandA	BRC20320
BRC20308	500FA, Yilan-alpha1	BRC20308
BRC20309	500FB, Yilan-alpha2	BRC20309
BRC20310	502FA, Yilan-gamma1	BRC20311
BRC20311	502FB, Yilan-gamma2	BRC20311
BRC20312	504FA, Yilan-epsilon1	BRC20312
BRC20315	504FB, Yilan-epsilon2	BRC20315
BRC20320	486FC, turtle islandC	BRC20320
BRC20324	148, BRC10104	BRC20324
BRC20331	487FB, fulong beachB	BRC20331
BRC20333	81	BRC20333
BRC20334	NULL	BRC20334
BRC20339	488F, 石碇1A	BRC20339
BRC20341	520F	BRC20341
BRC20342	523FA	BRC20343
BRC20343	523FB	BRC20343
BRC20345	540FC	NIC802
BRC20346	486FB, turtle islandB	BRC20346
BRC20347	550FA	BRC20347
BRC20348	553FB	BRC20348
BRC20353	578FA	BRC20353
BRC20354	582FB	BRC20361
BRC20355	584FA	BRC20361
BRC20356	584FB	BRC20361
BRC20360	579FA	BRC20360
BRC20361	582FA	BRC20361
BRC20362	582FC	BRC20362
BRC20366	593F	BRC20366
BRC20367	625F	BRC20367
BRC20369	635F	BRC20369
BRC20370	609F	BRC20370
BRC20388	671F	BRC20388
BRC20390	664FD	BRC20390
BRC20401	695FB	BRC20401
BRC20408	664FC	BRC20390
BRC20462	699F	BRC20390
BRC20463	700F	BRC20463
BRC20492	751F	BRC20492
BRC20498	761F	BRC20498
BRC20499	769FA	BRC20499
BRC20500	769FB	BRC20499
BRC20501	770F	BRC20501
BRC20502	839F-2	BRC20502
BRC20503	20210803	BRC20503
BRC20519	20210803	BRC20519
BRC20520	20210803	BRC20520
BRC20522	20210803	BRC20522
BRC20523	20210803	BRC20522
BRC20524	20210803	BRC20524
BRC20525	20210803	BRC20522
BRC20526	20210803	TWN1899
BRC20528	20210803	NIC779
BRC20529	20210803	BRC20529
BRC20530	20210803	BRC20530
BRC20531	20210803	BRC20531
BRC20532	20210803	BRC20532
BRC20533	20210803	BRC20533
BRC20534	20210803	BRC20534
BRC20535	20210803	BRC20535
BRC20536	20210803	BRC20536
BRC20537	20210803	BRC20537
BRC20540	20210803	BRC20115
BRC20541	20210803	BRC20541
BRC20542	20210803	BRC20541
BRC20543	20210803	BRC20543
BRC20544	20210803	BRC20544
BRC20545	20210803	BRC20545
BRC20556	20210803	BRC20556
BRC20557	20210803	BRC20557
BRC20565	NULL	BRC20565
BRC20571	NULL	BRC20571
BRC20574	NULL	BRC20574
BW287	NULL	BW287
DF5100	NULL	DF5100
ECA1127	C1587-2	ECA1174
ECA1128	C1587-4	ECA1174
ECA1129	C1584-1	ECA1129
ECA1130	C1584-2	ECA1129
ECA1143	S-07783	ECA1143
ECA1144	S-07786	ECA1143
ECA1145	S-07787	ECA1143
ECA1146	S-07788	ECA1146
ECA1147	S-07918	ECA1147
ECA1148	S-07930	ECA1149
ECA1149	S-07931	ECA1149
ECA1150	S-07932	ECA1149
ECA1151	S-07936	ECA1160
ECA1152	S-08000	ECA1160
ECA1153	S-08017	ECA1160
ECA1154	S-08018	ECA1160
ECA1155	S-08019	ECA1160
ECA1156	S-08020	ECA1160
ECA1157	S-08025	EG6268
ECA1158	S-08028	EG6268
ECA1159	S-08035	EG6268
ECA1160	S-08037	ECA1160
ECA1161	S-08038	ECA1160
ECA1162	S-08039	ECA1160
ECA1163	S-08057	ECA1160
ECA1164	S-08059	ECA1164
ECA1165	S-08060	ECA1160
ECA1166	S-08085	ECA1559
ECA1167	S-08086	ECA1559
