AssayNumber	Strain	TraitName	Replicate	Value
1	CB4856	Healthspan	1	12.9
1	CB4856	Healthspan	2	10.2
2	CB4856	Healthspan	1	10.5
3	CB4856	Healthspan	1	9.2
3	CB4856	Healthspan	2	11.2
1	CX11314	Healthspan	1	12.1
1	CX11314	Healthspan	2	12.5
2	CX11314	Healthspan	1	12.5
2	CX11314	Healthspan	2	10.5
4	CX11314	Healthspan	1	13.1
4	CX11314	Healthspan	2	11.6
1	DL238	Healthspan	1	11.6
2	DL238	Healthspan	1	10.6
2	DL238	Healthspan	2	11
3	DL238	Healthspan	1	11.3
3	DL238	Healthspan	2	11
1	JT11398	Healthspan	1	11.6
1	JT11398	Healthspan	2	12.5
2	JT11398	Healthspan	1	12.9
2	JT11398	Healthspan	2	12.9
4	JT11398	Healthspan	1	13.7
4	JT11398	Healthspan	2	11.2
1	JU258	Healthspan	1	12.2
1	JU258	Healthspan	2	10.9
2	JU258	Healthspan	1	11.9
2	JU258	Healthspan	2	12.8
3	JU258	Healthspan	1	12.2
